page,section,page_purpose
1,"Front matter: title, roadmap, prerequisites, and diagnostic","Page 1 of 4: Front matter: title, roadmap, prerequisites, and diagnostic"
2,"Front matter: title, roadmap, prerequisites, and diagnostic","Page 2 of 4: Front matter: title, roadmap, prerequisites, and diagnostic"
3,"Front matter: title, roadmap, prerequisites, and diagnostic","Page 3 of 4: Front matter: title, roadmap, prerequisites, and diagnostic"
4,"Front matter: title, roadmap, prerequisites, and diagnostic","Page 4 of 4: Front matter: title, roadmap, prerequisites, and diagnostic"
5,Chapter 1: Functions Graphs and Modeling,opening objectives and diagnostic
6,Chapter 1: Functions Graphs and Modeling,core intuition
7,Chapter 1: Functions Graphs and Modeling,formal explanation
8,Chapter 1: Functions Graphs and Modeling,worked example
9,Chapter 1: Functions Graphs and Modeling,implementation or derivation
10,Chapter 1: Functions Graphs and Modeling,common mistakes and debugging
11,Chapter 1: Functions Graphs and Modeling,independent exercises
12,Chapter 1: Functions Graphs and Modeling,retrieval review
13,Chapter 2: Vectors and Geometry,opening objectives and diagnostic
14,Chapter 2: Vectors and Geometry,core intuition
15,Chapter 2: Vectors and Geometry,formal explanation
16,Chapter 2: Vectors and Geometry,worked example
17,Chapter 2: Vectors and Geometry,implementation or derivation
18,Chapter 2: Vectors and Geometry,common mistakes and debugging
19,Chapter 2: Vectors and Geometry,independent exercises
20,Chapter 2: Vectors and Geometry,retrieval review
21,Chapter 3: Matrices and Linear Systems,opening objectives and diagnostic
22,Chapter 3: Matrices and Linear Systems,core intuition
23,Chapter 3: Matrices and Linear Systems,formal explanation
24,Chapter 3: Matrices and Linear Systems,worked example
25,Chapter 3: Matrices and Linear Systems,guided practice
26,Chapter 3: Matrices and Linear Systems,implementation or derivation
27,Chapter 3: Matrices and Linear Systems,common mistakes and debugging
28,Chapter 3: Matrices and Linear Systems,independent exercises
29,Chapter 3: Matrices and Linear Systems,retrieval review
30,Chapter 4: Linear Transformations and Eigen Ideas,opening objectives and diagnostic
31,Chapter 4: Linear Transformations and Eigen Ideas,core intuition
32,Chapter 4: Linear Transformations and Eigen Ideas,formal explanation
33,Chapter 4: Linear Transformations and Eigen Ideas,worked example
34,Chapter 4: Linear Transformations and Eigen Ideas,guided practice
35,Chapter 4: Linear Transformations and Eigen Ideas,implementation or derivation
36,Chapter 4: Linear Transformations and Eigen Ideas,common mistakes and debugging
37,Chapter 4: Linear Transformations and Eigen Ideas,independent exercises
38,Chapter 4: Linear Transformations and Eigen Ideas,retrieval review
39,Chapter 5: Probability Foundations,opening objectives and diagnostic
40,Chapter 5: Probability Foundations,core intuition
