problem_id,track_id,track,module,objective_id,difficulty,problem_type,status,required_reviews
CQAI-00001,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O01,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00002,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O01,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00003,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O01,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00004,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O01,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00005,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O01,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00006,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O02,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00007,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O02,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00008,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O02,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00009,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O02,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00010,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O02,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00011,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O03,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00012,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O03,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00013,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O03,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00014,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O03,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00015,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O03,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00016,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O04,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00017,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O04,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00018,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O04,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00019,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O04,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00020,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O04,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00021,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O05,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00022,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O05,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00023,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O05,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00024,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O05,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00025,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O05,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00026,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O06,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00027,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O06,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00028,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O06,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00029,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O06,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00030,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O06,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00031,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O07,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00032,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O07,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00033,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O07,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00034,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O07,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00035,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O07,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00036,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O08,novice,multiple_choice,planned,automated+technical+editorial
CQAI-00037,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O08,novice,numeric_response,planned,automated+technical+editorial
CQAI-00038,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O08,novice,numeric_response,planned,automated+technical+editorial
CQAI-00039,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O08,novice,numeric_response,planned,automated+technical+editorial
CQAI-00040,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O08,novice,numeric_response,planned,automated+technical+editorial
CQAI-00041,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O01,novice,numeric_response,planned,automated+technical+editorial
CQAI-00042,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O01,novice,numeric_response,planned,automated+technical+editorial
CQAI-00043,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O01,novice,numeric_response,planned,automated+technical+editorial
CQAI-00044,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O01,novice,numeric_response,planned,automated+technical+editorial
CQAI-00045,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O01,novice,numeric_response,planned,automated+technical+editorial
CQAI-00046,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O02,novice,numeric_response,planned,automated+technical+editorial
CQAI-00047,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O02,novice,numeric_response,planned,automated+technical+editorial
CQAI-00048,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O02,novice,numeric_response,planned,automated+technical+editorial
CQAI-00049,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O02,novice,numeric_response,planned,automated+technical+editorial
CQAI-00050,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O02,novice,numeric_response,planned,automated+technical+editorial
CQAI-00051,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O03,novice,numeric_response,planned,automated+technical+editorial
CQAI-00052,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O03,novice,numeric_response,planned,automated+technical+editorial
CQAI-00053,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O03,novice,numeric_response,planned,automated+technical+editorial
CQAI-00054,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O03,novice,numeric_response,planned,automated+technical+editorial
CQAI-00055,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O03,novice,numeric_response,planned,automated+technical+editorial
CQAI-00056,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O04,novice,code_output,planned,automated+technical+editorial
CQAI-00057,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O04,novice,code_output,planned,automated+technical+editorial
CQAI-00058,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O04,novice,code_output,planned,automated+technical+editorial
CQAI-00059,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O04,novice,code_output,planned,automated+technical+editorial
CQAI-00060,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O04,novice,code_output,planned,automated+technical+editorial
CQAI-00061,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O05,beginner,code_output,planned,automated+technical+editorial
CQAI-00062,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O05,beginner,code_output,planned,automated+technical+editorial
CQAI-00063,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O05,beginner,code_output,planned,automated+technical+editorial
CQAI-00064,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O05,beginner,code_output,planned,automated+technical+editorial
CQAI-00065,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O05,beginner,code_output,planned,automated+technical+editorial
CQAI-00066,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O06,beginner,code_output,planned,automated+technical+editorial
CQAI-00067,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O06,beginner,code_output,planned,automated+technical+editorial
CQAI-00068,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O06,beginner,code_output,planned,automated+technical+editorial
CQAI-00069,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O06,beginner,code_output,planned,automated+technical+editorial
CQAI-00070,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O06,beginner,code_output,planned,automated+technical+editorial
CQAI-00071,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O07,beginner,code_output,planned,automated+technical+editorial
CQAI-00072,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O07,beginner,code_output,planned,automated+technical+editorial
CQAI-00073,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O07,beginner,code_completion,planned,automated+technical+editorial
CQAI-00074,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O07,beginner,code_completion,planned,automated+technical+editorial
CQAI-00075,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O07,beginner,code_completion,planned,automated+technical+editorial
CQAI-00076,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O08,beginner,code_completion,planned,automated+technical+editorial
CQAI-00077,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O08,beginner,code_completion,planned,automated+technical+editorial
CQAI-00078,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O08,beginner,code_completion,planned,automated+technical+editorial
CQAI-00079,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O08,beginner,code_completion,planned,automated+technical+editorial
CQAI-00080,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O08,beginner,code_completion,planned,automated+technical+editorial
CQAI-00081,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O01,beginner,code_completion,planned,automated+technical+editorial
CQAI-00082,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O01,beginner,code_completion,planned,automated+technical+editorial
CQAI-00083,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O01,beginner,code_completion,planned,automated+technical+editorial
CQAI-00084,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O01,beginner,code_completion,planned,automated+technical+editorial
CQAI-00085,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O01,beginner,debugging,planned,automated+technical+editorial
CQAI-00086,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O02,beginner,debugging,planned,automated+technical+editorial
CQAI-00087,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O02,beginner,debugging,planned,automated+technical+editorial
CQAI-00088,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O02,beginner,debugging,planned,automated+technical+editorial
CQAI-00089,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O02,beginner,debugging,planned,automated+technical+editorial
CQAI-00090,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O02,beginner,debugging,planned,automated+technical+editorial
CQAI-00091,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O03,beginner,debugging,planned,automated+technical+editorial
CQAI-00092,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O03,beginner,debugging,planned,automated+technical+editorial
CQAI-00093,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O03,beginner,debugging,planned,automated+technical+editorial
CQAI-00094,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O03,beginner,debugging,planned,automated+technical+editorial
CQAI-00095,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O03,beginner,debugging,planned,automated+technical+editorial
CQAI-00096,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O04,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00097,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O04,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00098,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O04,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00099,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O04,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00100,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O04,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00101,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O05,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00102,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O05,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00103,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O05,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00104,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O05,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00105,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O05,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00106,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O06,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00107,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O06,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00108,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O06,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00109,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O06,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00110,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O06,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00111,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O07,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00112,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O07,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00113,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O07,beginner,coding_challenge,planned,automated+technical+editorial
