legacy_content_type,legacy_id_or_scope,legacy_title_or_count,recommended_ai_destination,disposition,progress_preservation_rule,review_gate
track,web_development,Web Development,T02 Python web demos or optional archive,archive_feature_flag,retain Track/Path/Level/NodeProgress IDs,objective-level technical review
track,app_development,App Development,optional archive,archive_feature_flag,retain Track/Path/Level/NodeProgress IDs,owner approval before any removal
track,cybersecurity,Cybersecurity,optional knowledge archive,archive_feature_flag,retain Track/Path/Level/NodeProgress IDs,owner approval plus safety review
track,problem_solving,Problem Solving,T01 computational thinking and T03 algorithms,reuse_candidate,retain all IDs and append ai_legacy_mappings,technical and editorial review
track,ai_machine_learning,AI and Machine Learning,T06 ML and T09 NLP/LLMs,reuse_candidate,retain all IDs and append ai_legacy_mappings,technical and editorial review
path,data_structures,Data Structures,T03 Algorithms and Data Structures,reuse_candidate,retain path and level progress,objective/prerequisite mapping
path,algorithms_coding_interviews,Algorithms and Coding Interviews,T03 Algorithms and Data Structures,reuse_candidate,retain path and level progress,deterministic challenge review
path,machine_learning_fundamentals,Machine Learning Fundamentals,T06 Machine Learning Foundations,reuse_candidate,retain path and level progress,ML assumptions/metric/leakage review
path,nlp_ai,Natural Language Processing and AI,T09 NLP and LLMs,reuse_candidate,retain path and level progress,factual/source and safety review
asset,lessons,400 packaged lessons,T02/T03/T06/T09 candidate inventory,not_auto_migrated,legacy node completion stays intact,lesson schema and human review
asset,practice_questions,4000 packaged questions,new problem bank candidate inventory,not_auto_migrated,legacy AssessmentAttempt remains immutable,answer/explanation/uniqueness QA
asset,challenge_activities,1600 packaged challenges,T02/T03 candidate inventory,not_auto_migrated,legacy completion remains immutable,hidden-test and sandbox review
asset,projects,50 packaged projects,Projects migration candidate,not_auto_migrated,ProjectDraft preserved unchanged,rubric and evidence review
manifest,ai_problem_slots,10000 planned slots,T01-T12 problem bank,planned_only,no learner impact until published,automated plus technical/editorial/pilot QA
